Track,Track Performance,Tyre Wear
Bahrain,Top Speed,High
Saudi Arabia,Top Speed,High
Australia,Balanced,Medium
Azerbaijan,Top Speed,Medium
Miami,Balanced,Medium
Imola,Top Speed,Low
Monaco,Downforce,Medium
Catalunya,Balanced,Low
Canada,Top Speed,Low
Austria,Top Speed,Low
Great Britain,Balanced,Low
Hungary,Downforce,Low
Belgium,Top Speed,Low
Netherlands,Downforce,Low
Monza,Top Speed,Medium
Singapore,Downforce,Medium
Japan,Top Speed,Low
Qatar,Top Speed,Medium
Texas,Top Speed,Medium
Mexico,Downforce,High
Brazil,Top Speed,High
Las Vegas,Balanced,Medium
Abu Dhabi,Top Speed,High
China,Top Speed,Low
France,Top Speed,Low
Portugal,Balanced,Low